_type,_id,_revision,_base,_page.next,savivaldybe._id,aob_kodas._id,gyvenamoji_vietove._id,gatve._id,nr,korpuso_nr,pasto_kodas,aob_nuo
datasets/gov/rc/ar/pastatas/Pastatas,002cab5e-1800-4675-8974-df17c2aedced,80158944-4511-4932-af1a-804d6dce4e6d,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,0b0075e0-48f6-42a6-bdc2-5ba7f945eb91,8e2b3c03-d095-4ad0-a1fb-73ea58661295,b2875769-5dc0-40da-8b99-08b720f7b4c6,20,,LT-62181,2011-11-17
datasets/gov/rc/ar/pastatas/Pastatas,002d38f8-ccd6-4f48-b8a6-fd0748bcced4,0831b851-04e5-4c35-a917-262dc73b18bf,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,bb6b0ec2-0f4e-4cee-9d19-54c6dace00b1,212ed786-af95-44de-ae28-b753e9a41a4b,11f819a3-9054-47c1-89ed-e2bb05d137ad,14,,LT-62188,2020-05-12
datasets/gov/rc/ar/pastatas/Pastatas,003184a5-071e-4bd3-a10d-4b60a2023b86,5bac6aed-49e5-484d-b054-d2294f2bc927,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,5c687e30-77bc-4dfa-b89f-b5636cc0afc5,c48dc01c-60ff-409c-a817-efc902e6a9ca,b6e718c3-c973-4102-8910-4d5ea6938ea7,19,,LT-64110,2010-12-23
datasets/gov/rc/ar/pastatas/Pastatas,00324f01-dc9f-4f0f-8169-664f26608e81,b678fa28-a435-4861-8c1f-ae922e8c06ee,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,66da8048-86f8-474a-86cc-b331c78bd8b9,68d7a101-503c-4f37-9a1f-38251b802d25,2ed96ed8-bc92-4c0b-86cd-d42380009b95,24,,LT-64312,2005-09-13
datasets/gov/rc/ar/pastatas/Pastatas,0039d63a-6f5a-4d0b-b627-b8f5c6488e31,109bab9b-4f3b-47da-b9c4-54a270b5f1a7,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,33efc819-345e-464f-93fe-482725c80142,e71d3a3a-c09e-4dc3-a87f-4b79c2f92273,bd4b4c4d-ce49-4d6a-865f-2240ef1b51b7,40,,LT-64102,2018-07-13
datasets/gov/rc/ar/pastatas/Pastatas,003a3814-20d4-4def-9d53-8e1196f71f84,fac4648e-080d-4ed7-990a-1415983ba4c4,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,97a98ca8-1ccc-40ac-9d26-9de05e4126cd,c48dc01c-60ff-409c-a817-efc902e6a9ca,5b88df2d-25af-4a2d-a391-5b5d49da0f5a,2,,LT-64110,2010-12-23
datasets/gov/rc/ar/pastatas/Pastatas,00480e0a-5c0c-45d1-baea-a1ea08773ef4,d302b708-e726-4691-ae45-51f9858a9b37,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,b053629c-1c88-4e87-a8d7-caafd23d340f,5d3f3e6b-89dd-4554-9db9-f1209c61d094,c3aa82bb-a8e0-4d64-88f9-eafae826e046,11,,LT-62196,2010-02-25
datasets/gov/rc/ar/pastatas/Pastatas,0051bd4c-6658-4db3-abe2-faaa9686b3d8,88e5bc92-b14c-4107-9c50-e83338ec63bd,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,ac194ab9-0b2f-4017-a378-bff0c0c02d91,c48dc01c-60ff-409c-a817-efc902e6a9ca,80a93aef-d78e-4757-b94a-2da5892bbc36,2,,LT-64110,2010-11-26
datasets/gov/rc/ar/pastatas/Pastatas,0052a861-235e-4d16-81a9-2f9874f25829,e5752082-ef0b-4a22-b4ea-ae895b95fdb7,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,577df6bf-df43-4ca7-b52a-716cf6635414,14aba334-10f7-4a45-b662-d1a3105cede0,84677f1c-f83c-42c8-b13d-ebb91961a500,2A,,LT-64231,2016-01-08
datasets/gov/rc/ar/pastatas/Pastatas,0052c900-6648-401a-9cef-5fb9e416562f,ba32e487-044d-42ae-9cab-a9031a89c78a,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,d7c6454d-7e80-44cf-a380-3e93677eaa2c,6d9852d6-b679-4773-92b1-598547134875,,8B,,LT-64373,2017-12-18
