dirbt_id|sav_pavadinimas|seniunijos_pavad|statinio_kategorija|obje_tipas|pask_tipas|atr_uzstatytas_plotas|bendras_plotas|naudingas_plotas|gyv_plotas|verslo_plotas|pagalb_nenaud_plotas|pagalb_naud_plotas|rusiu_plotas|garazu_plotas|patalpu_kaip_atsir_nt_skaicius|gyv_pask_patalpu_sk|pastato_energ_naud_klase|aukstu_skaicius|stat_pradzios_metai|stat_pabaigos_metai|modern_pradzios_metai|modern_pabaigos_metai|sildymas|vandentiekis|nuoteku_salinimas|dujos|karstas_vanduo|elektra|virykle|vonios_kambarys|vedin_kondicionav|pamatai|sienos|stogo_konstrukcija|stogo_danga|perdanga|isores_apdaila|vidaus_apdaila|pertvaros|grindys|langai|durys|formavimo_data
75504633878781507|Kauno m. sav.|Šilainių sen.||20|110|93|177,78|115,73|61,35|16,5|17,32|37,88|44,73|||1||2||1972|||3|1|2|1||1|1|||1|11|2|3|1|||1|8|2||2026-08-03
74246105808183277|Kauno m. sav.|Kauno m.||28|240|29|0||0|||||||||1||1976||||||||1||||2|1|2|3|3|||1|15|1|1|2026-08-03
75654718028295972|Kauno m. sav.|Žaliakalnio sen.||20|140|187,94|293,05|266,39|168,03||9,16|98,36|17,5|||4||2||1936|||3|1|1|1|1|1|1|||1|1|2|1|1|||1|2|1|6|2026-08-03
74280075008393981|Kauno m. sav.|Šilainių sen.||20|110|189|191,94|162,07|102,96|||59,11||29,87||||1|2000|2009|||3|1|1|1|1|1|2|1|1|1|1|2|2|3|1|2|1|13|8|1|2026-08-03
75619969302479981|Kauno m. sav.|Kauno m.||22|222|0|158,34||0|||||||||1||1958|||0|||||||||0|25||0|12||||15|||2026-08-03
75710367253850025|Kauno m. sav.|Kauno m.|2|22|214|264|230,17||0|||||||||1|1890|1890|||0|1|1|0|0|1|0|0|1|1|1|2|2|3|2|2|8|45|8|8|2026-08-03
74470880629465844|Kauno m. sav.|Kauno m.||28|240|16|0||0|||||||||1||1955|||0|0|0|0||0||||2|30|2|3|3|0||12|0|0|1|2026-08-03
75575370493345423|Kauno m. sav.|Vilijampolės sen.||20|110|0|293,52|187,69|142,95||1,66|44,74|104,17|||||2||1965|||3|1|1|1|1|1|1|||1|1||3|1|2|2|1|8|1|1|2026-08-03
75619856993421428|Kauno m. sav.|Petrašiūnų sen.||22|222|43|33,55||0|||||||||1|1982|1982|||0|0|0|0|0|0|0|0|0|2|1|0|0|0|0|0|0|15|0|0|2026-08-03
74484691445323853|Kauno m. sav.|Kauno m.||28|240|52|0||0|||||||||1|1999|1999||||||||1||||1|19|2|3|1||||15|1|1|2026-08-03
74201480232716277|Kauno m. sav.|Gričiupio sen.||22|220|44|63,69||0|||||||||1||2001||||||||1||||1|11|2|11|3||||15||2|2026-08-03
74470528489766194|Kauno m. sav.|Kauno m.||28|240|15|0||0|||||||||0||1974||||||||||||2|25|4|21|||||||1|2026-08-03
74468995622294462|Kauno m. sav.|Kauno m.||28|240|28|0||0|||||||||1||1983||||||||1||||2|1||3|1|||||||2026-08-03
75566688390797443|Kauno m. sav.|Gričiupio sen.|1|20|140|606|2201,65|1738,79|1261,91||9,24|476,88|453,62|||24||4|1966|1966|||1|1|1|1|1|1|1|1|1|2|1|1|21|1|0|1|1|8|1|1|2026-08-03
74436954426589083|Kauno m. sav.|Kauno m.|3|28|240|26|0||0|||||||||1|1974|1974|||0|0|0|0||1||||2|1|2|3|1|0||0|15|0|1|2026-08-03
75558030308658805|Kauno m. sav.|Žaliakalnio sen.||22|210|591|2397,28||0||||||||8|5|1996|1996|||1|1|1|0|1|1|0|0|1|1|1|1|20|1|2|1|1|3|8|1|2026-08-03
74926662296836949|Kauno m. sav.|Kauno m.||28|240|18|0||0|||||||||1||1969||||||||1||||2|1|2|3|1||||15|1|1|2026-08-03
74997372509264318|Kauno m. sav.|Kauno m.||28|240|32|0||0|||||||||1||1978||||||||||||12|48||24||||||||2026-08-03
74474839173930552|Kauno m. sav.|Aleksoto sen.|3|28|240|45|0||0|||||||||1|1959|1959|||0|0|0|0||1||||2|1|2|13|3|0||1|15|1|1|2026-08-03
75606947080988141|Kauno m. sav.|Gričiupio sen.||20|110|0|138,82|123,35|75,77|||47,58|15,47|||||1||1960|||1|1|1|1|1|1|1|||2|1|2|3|1||2|1|8|1|1|2026-08-03
74203284562356711|Kauno m. sav.|Kauno m.||22|220|23|19,42||0|||||||||1||1968|||0|0|0|0|0|1|0|||2|1|1|21|1|||0|15|0|1|2026-08-03
75403369605969828|Kauno m. sav.|Vilijampolės sen.||20|110|62|173,33|114,92|71,51|||43,41|58,41|||||2||1984|||3|1|1|1||1|1|||2|1|1|21|1|2|2|1|8|1|1|2026-08-03
74470364299329447|Kauno m. sav.|Kauno m.||28|240|28|0||0|||||||||1||1987||||||||||||2|1||21|||||||1|2026-08-03
75662412080967772|Kauno m. sav.|Kauno m.||22|224|569|509,24||0||||||||7|0||1975|||1|0|0||1|1||||2|25|1|21|1|||1|15|0|1|2026-08-03
7497647559957106|Kauno m. sav.|Kauno m.||28|240|299,58|0||0|||||||||1||1980|||||||||||||11||||||||||2026-08-03
74433027512098404|Kauno m. sav.|Kauno m.||28|240|46|0||0|||||||||1||1940|||0|0|0|0||0||||2|30|2|3|3|0||0|0|1|1|2026-08-03
75648510950279538|Kauno m. sav.|Aleksoto sen.||20|110|0|64,21|64,21|49,51|||14,7||||||1||1938|||3|||1||1|1|||2|30||3|3|1|1|12|8|1|1|2026-08-03
74556196549142528|Kauno m. sav.|Kauno m.||28|240|21|0||0|||||||||1||1953||||||||1|||||11||1||||||||2026-08-03
74465231956080485|Kauno m. sav.|Kauno m.||28|240|40|0||0|||||||||1||1970||||||||||||2|47||24||||||||2026-08-03
74465447332088916|Kauno m. sav.|Kauno m.||28|240|24|0||0|||||||||1||1959||||||||1||||2|1||3||||||||2026-08-03
75575499409682251|Kauno m. sav.|Šančių sen.||20|110|75|140,84|90,02|59,38|||30,64|30,89|19,93||||2||1965|||3|1|1|1||1|1|||2|1||1|1|||1|8|1|1|2026-08-03
74461518855324718|Kauno m. sav.|Kauno m.||28|240|29|0||0|||||||||1||1958||||||||||||3|48||21|||||8|||2026-08-03
7546130982433831|Kauno m. sav.|Petrašiūnų sen.||20|110|103|112,87|91,94|58,2|||33,74|20,93|||1||1|1976|1976|||3|||2||1|1|||2|1|2|3|1||1|1|8|1|1|2026-08-03
74486001438689942|Kauno m. sav.|Kauno m.||28|240|78|0||0|||||||||1||1974||||||||||||12|47||24||||||||2026-08-03
74104554375190215|Kauno m. sav.|Kauno m.||28|240|105|0||0|||||||||2|1994|2003||||||||1||||2|11|2|11|1|||1|15|22|3|2026-08-03
83643267810689634|Kauno m. sav.|Kauno m.||28|240|65|0||0|||||||||1|1957|1957|||0|0|0|0||1||||2|1|2|2|1|0||1|15|8|8|2026-08-03
65144820641389239|Kauno m. sav.|Kauno m.||28|240|35|0||0|||||||||1|2007|2007|||0|0|0|0||1||||1|1|2|2|3|0||0|15|1|4|2026-08-03
74102522384327962|Kauno m. sav.|Vilijampolės sen.||20|110|108|148,92|131,07|76,43|||54,64||17,85||1||2|2003|2005|||3|1|2|1|1|1|1|1|1|1|1|1|21|1|2|2|1|35|8|1|2026-08-03
74103917001161049|Kauno m. sav.|Aleksoto sen.||20|110|193|361,91|204,36|137,97|||66,39|119,31|38,24||||1|1990|2005|||3|1|1|1|1|1|1|1|0|2|1|2|2|1|2|1|1|2|8|1|2026-08-03
81514585976350196|Kauno m. sav.|Panemunės sen.||20|110|200|234,04|197,54|153,98|||43,56||36,5||||1|2005|2008|||3|2|2|0|1|1|2|1|1|2|30|2|2|3|0|0|17|8|1|8|2026-08-03
7492004246522864|Kauno m. sav.|Kauno m.||28|240|6|0||0|||||||||1||1971||||||||||||12|2||9||||||||2026-08-03
75547413498716146|Kauno m. sav.|Panemunės sen.||20|150|157|137|75,89|23,17|||52,72|61,11||||4|1|1968|1968|||3|1|1|1|1|1|0|0|1|2|1|1|21|1|2|2|1|3|8|4|2026-08-03
7422763397615921|Kauno m. sav.|Kauno m.||26|266|22|20,09||0|||||||||1||1971|||0|||||||||2|48||3|3|5|3|12|8|1|1|2026-08-03
75647406638234951|Kauno m. sav.|Žaliakalnio sen.||20|120|113|90,2|90,2|58,08|||32,12||||2||1||1938|||4|1|1|1||1|1|||1|30|2|7|3|||7|8|2|5|2026-08-03
75708875756040461|Kauno m. sav.|Šančių sen.|1|22|222|4737|5018,59||0||||||||4|1|1962|1962|||6|1|1|0|1|1|0|1|1|2|8|4|20|12|21|2|1|15|8|8|2026-08-03
83562674354793587|Kauno m. sav.|Šilainių sen.|2|20|110|212|265,58|229,74|171,52|||58,22||35,84||1|4|1|2005|2015|||3|1|1|1|1|1|2|1|1|1|1|2|2|1|1|1|1|13|8|1|2026-08-03
65140618578247628|Kauno m. sav.|Šilainių sen.|2|20|110|252|184,23|146,05|108,18|||37,87||38,18|||4|1|2011|2015|||3|1|1|1|1|1|3|1|1|1|19|2|2|1|2|2|2|2|1|1|2026-08-03
75626879056642601|Kauno m. sav.|Aleksoto sen.||20|110|72|134,76|83,83|59,08|||24,75|50,93|||||1||1955|||7|1|1|1||1|1|||2|30|2|3|3|1|1|1|8|1|1|2026-08-03
74478022420197465|Kauno m. sav.|Kauno m.||28|240|25|0||0|||||||||1||1983|||0|0|0|0||1||||2|1|2|3|3|0||1|15|1|1|2026-08-03
74279606949545121|Kauno m. sav.|Kauno m.||28|240|16|0||0|||||||||1||1976||||||||1||||2|1||3|||||||1|2026-08-03
74268344897627556|Kauno m. sav.|Kauno m.||28|240|48|0||0|||||||||1||1969||||||||1|||||11||4|1|||1||||2026-08-03
74621198098238736|Kauno m. sav.|Petrašiūnų sen.||28|240|17|0||0|||||||||1|1985|1985|||0|0|0|0||1||||2|48|2|2|0|0||0|15|0|8|2026-08-03
64926669673055645|Kauno m. sav.|Šilainių sen.|2|20|110|160|195,59|156,88|120,8|||36,08||38,71|||4|2|2016|2018|||3|1|1|1|1|1|2|1|1|2|19|2|1|1|2|2|2|35|1|1|2026-08-03
74474756008253776|Kauno m. sav.|Kauno m.||28|240|9|0||0|||||||||1||1967|||0|0|0|0||0||||0|48|2|2|0|0||0|0|0|1|2026-08-03
75660392717866037|Kauno m. sav.|Šančių sen.||20|110|54|41,51|36,06|21,03||5,45|15,03||||||1||1935|||4|1|1|0|1|1|0|1|1|2|8|2|2|3|6|3|12|8|8|1|2026-08-03
74437272499676771|Kauno m. sav.|Kauno m.||28|240|23|0||0|||||||||1||1972||||||||1|||||11||11|1||||4|||2026-08-03
75591586844885164|Kauno m. sav.|Žaliakalnio sen.||22|292|494|431,55||0|||||||||1||1963|||1|1|1|0|0|1|0|0||2|1|1|21|1|0|1|1|15|1|1|2026-08-03
75688423839254088|Kauno m. sav.|Šančių sen.||20|140|491|403,36|382,76|254,12||20,6|128,64||||10||1||1925|||3|1|1|1||1|1|||1|30|2|3|3|2|1|1|8|2||2026-08-03
64951934189524538|Kauno m. sav.|Šilainių sen.|2|20|120|204|143,08|143,08|109,07|||34,01||||2|4|1|2016|2017|||3|1|1|1|1|1|2|1|1|2|19|2|2|3|1|2|8|35|8|1|2026-08-03
75547408474089556|Kauno m. sav.|Aleksoto sen.||20|110|85|134,47|106,71|70,32|||36,39|27,76|||1|9|1||1968|||3|1|1|1||1|1|||1|1||3|1|||1|8|1|1|2026-08-03
74723300401076068|Kauno m. sav.|Kauno m.||28|240|69|0||0|||||||||1||1975||||||||1||||3|48||3|||||||1|2026-08-03
74458698577401256|Kauno m. sav.|Kauno m.||28|240|41|0||0|||||||||1||1974||||||||||||2|8||24||||||||2026-08-03
75681053321683692|Kauno m. sav.|Žaliakalnio sen.||20|110|72|62,95|62,95|41,23|||21,72||||1||1||1928|||3|1|1|1||1|1|||2|30|2|3|3||1|6|8|2|2|2026-08-03
74888100794758564|Kauno m. sav.|Centro sen.|3|28|240|27|0||0|||||||||1|1978|1978|||0|0|0|0||1||||2|1|1|21|1|0||1|15|0|8|2026-08-03
74207303660629956|Kauno m. sav.|Aleksoto sen.||20|110|124|296,78|188,12|0|||188,12|108,66|||||2||1993|||0|0|0|||0||||2|1|0|0|1|||1|0|0|0|2026-08-03
75703767214895606|Kauno m. sav.|Centro sen.||20|140|182|259,1|250,44|174,82||8,66|75,62||||5||2||1900|||2|1|1|1||1|1|||1|11||3|1||2|1|8|2|2|2026-08-03
75005859271240732|Kauno m. sav.|Kauno m.||28|240|87|0||0|||||||||1||1997|||0|1|1|0||1||||2|48|2|2|3|1||12|8|1|1|2026-08-03
74544519127169251|Kauno m. sav.|Kauno m.||28|240|29,14|0||0|||||||||1||1990||||||||1||||2|1|1|21|1||||15||1|2026-08-03
75428337132365256|Kauno m. sav.|Šilainių sen.||20|110|131|212,69|102,28|63,56||6,29|38,72|80,36|23,76||||2||1980|||3|1|2|1|1|1|1|1|0|2|1|2|3|1|2|2|1|8|1|1|2026-08-03
74403078859634944|Kauno m. sav.|Kauno m.||28|240|29|0||0|||||||||1||1956||||||||1||||2|30||3|3||||8|1|1|2026-08-03
75701399552798393|Kauno m. sav.|Šančių sen.|2|24|140|493|510,64|396,57|230,92|||165,65||||9||1|1906|1906|||6|1|1|1|1|1|1|1|0|4|30|2|3|3|21|1|17|8|1|1|2026-08-03
7457318316083518|Kauno m. sav.|Kauno m.||28|240|27|0||0|||||||||1|1970|1970|||0|0|0|0||1||||2|1|2|3|3|0||1|15|0|0|2026-08-03
75629973307122747|Kauno m. sav.|Šilainių sen.|2|24|140|480|681,14|454,52|276,29||3,29|178,23|70,67|||4||2|1953|1953|||6|1|1|0|1|1|0|1|3|2|1|2|3|3|2|2|1|8|1|1|2026-08-03
74475575852129994|Kauno m. sav.|Petrašiūnų sen.|3|28|240|36|0||0|||||||||1|1984|1984|||3|1|1|0||1||||2|1|2|3|15|0||1|14|8|1|2026-08-03
75336814485502127|Kauno m. sav.|Vilijampolės sen.|2|20|110|291|299,07|203,57|119,74|||83,83|53,17|42,33||1|4|2|2004|2015|||3|1|1|1|1|1|2|1|1|1|19|1|20|1|1|1|1|14|15|1|2026-08-03
7448148160844785|Kauno m. sav.|Šilainių sen.||20|110|144|331,84|184,67|110,08|||74,59|147,17|||1||2||1989|||3|1|1|1|1|1|2|||2|1|2|3|1|2|2|1|26|1|1|2026-08-03
7566857870676072|Kauno m. sav.|Žaliakalnio sen.||20|120|88|171,44|114,21|70,87|||43,34|57,23|||||2||1955|||3|1|1|1|0|1|1|||2|1|2|1|1|2|1|1|8|1|1|2026-08-03
74894695465087771|Kauno m. sav.|Kauno m.||28|240|113,28|0||0|||||||||1||1972|||||||||||||8||||||||||2026-08-03
64883036894562679|Kauno m. sav.|Aleksoto sen.|2|20|110|108|144,87|126,45|83,98|||42,47||18,42||1|4|2|2014|2019|||7|1|1|1|1|1|2|1|1|2|19|2|2|1|2|2|2|14|15|1|2026-08-03
64873713815555609|Kauno m. sav.|Kauno m.|2|20|110|177|126,92|126,92|92,19|||34,73|||||2|1|2019|2020|||6|1|1|1|1|1|2|1|1|2|8|4|20|12|11|2|8|38|8|4|2026-08-03
74459517438031878|Kauno m. sav.|Kauno m.||28|240|14|0||0|||||||||1||1988||||||||||||2|39|2|21|3||||15|2|2|2026-08-03
74968472923641158|Kauno m. sav.|Aleksoto sen.||28|240|450|0||0|||||||||1|1995|1995|||0|0|0|0||1||||2|8|2|2|0|0||0|15|0|8|2026-08-03
75702901615935278|Kauno m. sav.|Vilijampolės sen.||20|110|33|46|26,44|19,58|||6,86|19,56|||1|8|1|1910|1910|||6|0|0|0|0|1|0|0|1|1|30|2|3|3|5|1|12|8|1|1|2026-08-03
64727689749468242|Kauno m. sav.|Kauno m.|2|20|120|144|194,27|194,27|166,95|||27,32|||2|2|1|2|2023|2024|||6|1|1|0|1|1|2|1|1|1|19|2|2|1|2|2|8|35|8|6|2026-08-03
74834066523276621|Kauno m. sav.|Kauno m.||28|240|44|0||0|||||||||1||1934||||||||||||2|48|2|3|0||||||1|2026-08-03
75690154923826636|Kauno m. sav.|Žaliakalnio sen.||20|120|70|75,25|75,25|48,21|||27,04||||||1||1938|||4|1|1|0|0|1|0|||2|30|2|3|3|1||17|8|1|1|2026-08-03
74957057906832353|Kauno m. sav.|Kauno m.||28|240|9|0||0|||||||||1||1971||||||||||||3|48|2|27|||||||1|2026-08-03
75671156609177101|Kauno m. sav.|Kauno m.||22|224|44|41,3||0|||||||||1||1960|||0|0|0|||1||||2|1|2|3|1|0|0|0|15|0|1|2026-08-03
75507237989276055|Kauno m. sav.|Kauno m.|2|22|210|240|738,8||0|||||||||3|1984|1984|||6|1|1|1|1|1|0|0|1|1|1|4|20|1|15|2|1|14|8|1|2026-08-03
75443173922916273|Kauno m. sav.|Petrašiūnų sen.||22|210|0|573||0|||||||||2||1978|||1|1|1|||1||||2|3|1|21|1|||1|4|1|1|2026-08-03
75569817904980324|Kauno m. sav.|Šilainių sen.||20|110|102|190,08|108,76|60,34||4,26|48,42|77,06|||||1||1965|||3|1|2|1||1|1|||2|11|2|3|6||2|1|8|2|2|2026-08-03
75669461068612109|Kauno m. sav.|Kauno m.||22|222|0|10,01||0|||||||||1||1970|||9|||||||||12|1||4|||||4|||2026-08-03
75669424945199806|Kauno m. sav.|Petrašiūnų sen.|2|22|224|598|1833,11||0|||||||||2|1982|1982|||3|1|1|1|1|1|0|1|1|2|1|1|21|1|0|2|1|15|8|1|2026-08-03
7569288244920877|Kauno m. sav.|Vilijampolės sen.|2|20|110|97|112,93|112,93|93,7|||19,23|||||5|1|1920|1920|||3|1|1|1|1|1|1|1|1|2|30|2|2|3|6|21|12|14|8|7|2026-08-03
65112132688503674|Kauno m. sav.|Šilainių sen.|2|20|120|171|209,59|209,59|150,48|||59,11||||2|4|2|2012|2016|||3|1|1|1|1|1|2|1|1|2|19|2|2|1|2|2|2|35|8|1|2026-08-03
65119476049472796|Kauno m. sav.|Šilainių sen.|3|28|240|48|0||0|||||||||1|1996|1996|||0|0|0|0||0||||2|47|2|23|0|0||0|0|0|9|2026-08-03
74207527361866185|Kauno m. sav.|Aleksoto sen.|4|20|110|46|42,23|42,23|28,83|||13,4||||||1|1985|2019|||7|1|1|0|1|1|2|1|1|2|1|2|13|1|2|2|8|14|8|1|2026-08-03
75660889748879218|Kauno m. sav.|Kauno m.|2|20|120|130|154,6|154,6|115,68|||38,92||||2|9|2|1936|1936|||6|1|1|1|1|1|2|1|1|2|30|2|2|3|2|2|17|35|8|1|2026-08-03
75648834589856162|Kauno m. sav.|Kauno m.||20|110|76|66,3|66,3|51,39|||14,91||||1||1||1938|||3|1|1|1||1|1|||1|30|2|3|3|||7|8|2|2|2026-08-03
75631585191770379|Kauno m. sav.|Centro sen.|1|24|140|655|3292,31|2100,12|1411,23|||688,89|44,83||51|47|7|6|1978|1978|||10|1|1|1|1|1|3|1|1|2|1|4|21|1|2|1|1|3|1|1|2026-08-03
75696182538790541|Kauno m. sav.|Kauno m.||22|224|1498|2625,13||0|||||||||2|1917|1917|||0|0|0|0|0|1|0|0|1|2|1|2|3|3|0|0|1|8|1|1|2026-08-03
7539298753336926|Kauno m. sav.|Centro sen.|4|22|220|58|52,59||0|||||||||1|1985|1985|||0|0|0|0|0|1|0|0|0|2|1|1|2|1|0|1|0|15|1|8|2026-08-03
74471036925124245|Kauno m. sav.|Kauno m.||28|240|26|0||0|||||||||1||1987|||||||||||||11||3||||||||2026-08-03
64950306026017562|Kauno m. sav.|Aleksoto sen.|2|20|110|144|177,37|142,51|115,49|||27,02||34,86|||5|2|2005|2024|||6|1|1|0|1|1|2|1|0|2|19|2|13|1|1|2|2|14|8|6|2026-08-03
75663873068208598|Kauno m. sav.|Centro sen.||24|224|205|205,08|124,71|69,21|18,35|1,3|37,15||||1||1||1934|||6|1|1|1||1|1|||2|1|2|3|3|1|2|1|8|1|1|2026-08-03
75533721831593181|Kauno m. sav.|Šilainių sen.|2|20|110|128|221,39|161,34|133,56|||27,78|60,05||||4|2|1969|1969|||3|1|2|1|1|1|1|1|1|2|1|2|2|1|2|2|1|35|8|6|2026-08-03
74565693150477438|Kauno m. sav.|Kauno m.||28|240|20|0||0|||||||||1|1999|1999|||0|0|0|0||0||||3|47|0|24|0|0||0|0|0|9|2026-08-03
7457886924269333|Kauno m. sav.|Kauno m.||28|240|13|0||0|||||||||1||1952|||0|0|0|0||0||||3|48|2|3|0|0||0|0|0|1|2026-08-03
74968066087951979|Kauno m. sav.|Petrašiūnų sen.|2|28|240|241|0||0|||||||||1|1984|1984|||0|0|0|0||1||||2|8|2|21|1|21||2|15|8|8|2026-08-03
74998979534508944|Kauno m. sav.|Kauno m.||28|240|14|0||0|||||||||1||1978||||||||1||||2|30|2|3|3||||8||1|2026-08-03
74432093884510234|Kauno m. sav.|Kauno m.||28|240|21|0||0|||||||||1|1963|1963|||0|0|0|0||1||||2|48|2|2|0|0||12|15|1|1|2026-08-03
