dirbt_id,seniunijos_pavad,atr_uzstatytas_plotas,stat_pabaigos_metai,aukstu_skaicius,status,pool,n_candidates,b_OBJECTID,b_TOP_ID,b_Shape_Area,b_seniunija,b_cx,b_cy,log_area_dist
81238189335868655,Panemunės sen.,139.0,2022.0,1,ambiguous,district,5137,36742.0,DFEA7DED-4C8C-4384-A507-F5DF938BFF54,139.01215000325664,Panemunės sen.,499726.32187369117,6081270.891098014,8.740627533221357e-05
74333678338271314,Kauno m.,61.0,1980.0,1,ambiguous,citywide,34912,33464.0,FE05B47A-57AB-4A9A-B385-3574C4CABA1E,61.000800010134284,Panemunės sen.,501418.4887999999,6078938.8431,1.3114834234606576e-05
74117823574217992,Šilainių sen.,151.0,2008.0,1,ambiguous,district,6776,19221.0,746410F3-4958-4DF9-8A70-3471B3C57214,151.0091810112469,Šilainių sen.,495034.3860851877,6091296.4207930565,6.0799550656298607e-05
75340783840435979,Gričiupio sen.,295.0,1992.0,3,ambiguous,district,647,32963.0,0A8A848A-4F95-4857-AA44-D33A6289D698,296.1367495146532,Gričiupio sen.,497242.1754135951,6084881.922709342,0.0038459829025345726
65062147364765024,Šilainių sen.,63.0,2016.0,2,ambiguous,district,6124,66119.0,f09ffdff-214b-4829-8cd2-c151a289cb32,63.00000373683122,Šilainių sen.,493820.5972292782,6089326.045856123,5.931477975451571e-08
75156392692550492,Panemunės sen.,158.0,1991.0,2,ambiguous,district,4892,53582.0,771afe1a-b32f-4420-95eb-565af1fe2962,158.0361762393049,Panemunės sen.,498800.08245830104,6080866.400029794,0.00022893733175344266
74281191348604558,Kauno m.,13.0,1947.0,1,ambiguous,citywide,9555,35456.0,3BA4D5F7-5D94-4C59-A9F0-989F391DA4E6,13.001844835072216,Šančių sen.,496448.3977335273,6083813.975750751,0.0001419003218434689
74156208346718197,Žaliakalnio sen.,20.0,1966.0,1,ambiguous,district,1440,30071.0,FBE64B7B-27CE-4B63-A93A-80A9B6008994,19.987885194135544,Žaliakalnio sen.,493599.4971499994,6085104.612950002,0.0006059238279942925
75604651837854947,Kauno m.,36.0,1960.0,1,ambiguous,citywide,23510,66201.0,2e2adc05-3da4-462e-a037-ff96eb198e87,36.00059857991784,Eigulių sen.,496593.7489499999,6091057.821900001,1.6627081709241764e-05
7560510214396049,Petrašiūnų sen.,108.0,1960.0,1,ambiguous,district,3418,25063.0,5A9642C6-5EA6-4A71-A903-4BC67FB88AA5,107.95946398675976,Petrašiūnų sen.,503313.88593673764,6086268.224366005,0.0003754039111596441
75646628643412539,Aleksoto sen.,61.0,1939.0,1,ambiguous,district,6647,43842.0,EF287E08-9868-402F-8427-2ED4824D0D09,60.97925000333507,Aleksoto sen.,494474.3282806249,6080184.326560164,0.0003402217486092596
74251769962747433,Šilainių sen.,99.0,1993.0,2,ambiguous,district,7405,66091.0,f6bb0383-52c4-48ce-ab20-cae6bedd6eca,98.9998127353458,Šilainių sen.,490098.71637489233,6089105.62914394,1.891563952582942e-06
75032001151379132,Aleksoto sen.,40.0,1935.0,1,ambiguous,district,4604,45513.0,65BFD097-43B2-49AE-AA64-791EB4550C16,39.98701208249048,Aleksoto sen.,493093.00689999975,6080681.247,0.00032475066352688486
7564368219185022,Kauno m.,351.0,1939.0,1,ambiguous,citywide,13707,42198.0,256DECAC-D8B4-4F6F-AD07-8D89D7C056DC,350.9969721549644,Aleksoto sen.,491079.2828794534,6081330.5944883535,8.626376339471165e-06
74480161050549942,Kauno m.,63.0,1971.0,1,ambiguous,citywide,35632,66119.0,f09ffdff-214b-4829-8cd2-c151a289cb32,63.00000373683122,Šilainių sen.,493820.5972292782,6089326.045856123,5.931477975451571e-08
75644888262455329,Gričiupio sen.,147.0,1939.0,1,ambiguous,district,990,6711.0,24A46D57-6B82-40B3-8580-48135CA77B27,147.0041499714883,Gričiupio sen.,497085.64744706976,6085777.111133265,2.8230700070075443e-05
756350590696932,Kauno m.,103.0,1976.0,1,ambiguous,citywide,40947,20894.0,00D0D8EE-E7BE-4AF2-89F0-145931DB2C91,103.00047223231456,Šilainių sen.,492500.43622138136,6090145.098664163,4.5847692424771935e-06
75235322387185471,Šilainių sen.,94.0,1947.0,1,ambiguous,district,7352,63466.0,70242bfb-c473-44f1-a519-df0e3acb9387,93.9844413339041,Šilainių sen.,492480.0179667722,6089872.747498935,0.00016553142399455822
74927998828520831,Kauno m.,43.0,1940.0,1,ambiguous,citywide,27002,35176.0,D2DFDF38-46A4-464C-9014-D1132BA28EBA,43.00166006778807,Petrašiūnų sen.,501204.9332000003,6084448.050349999,3.860548242862194e-05
75005919470731611,Kauno m.,10.0,1972.0,1,ambiguous,citywide,6494,3192.0,1E9685FE-87AF-4400-866F-38F9F4075B25,12.001999996529893,Šilainių sen.,492618.23000000004,6090486.250000001,0.182488209284148
75631815507357134,Centro sen.,701.0,1952.0,4,ambiguous,district,510,10706.0,42FF6223-4A8E-4F3B-B9C2-98494EB14A77,700.7770999763391,Centro sen.,495080.5901289986,6084629.42768955,0.00031802492071442146
75412141082239717,Dainavos sen.,562.0,1975.0,9,ambiguous,district,595,32191.0,D15AB037-FFB4-4B1F-8192-FC6B2B202648,560.6359444636671,Dainavos sen.,496167.1609021551,6086200.960943596,0.0024300953738922715
74474870856502354,Kauno m.,15.0,1946.0,1,ambiguous,citywide,11269,32282.0,8B41C570-8FB4-453E-B4C6-A45E9968D4D0,15.000750000683592,Aleksoto sen.,491920.7975308333,6084434.660006409,4.999879561218279e-05
81249529877056206,Petrašiūnų sen.,135.0,2013.0,1,ambiguous,district,3147,64388.0,d98386c4-46f4-4485-b17a-d96663f69fa2,134.98034661300315,Petrašiūnų sen.,500811.23267021106,6085854.479509101,0.00014559124231183773
75627625576822718,Petrašiūnų sen.,141.0,1954.0,2,ambiguous,district,3067,35323.0,06CA7FE0-E618-47C2-BB39-7D22DE08A72C,140.98225000271665,Petrašiūnų sen.,503745.1898743606,6087264.711006225,0.0001258944299271647
64820014597362197,Kauno m.,849.0,2022.0,5,ambiguous,citywide,4381,44206.0,76CEA42F-EB66-420D-AB52-30CD779B54C0,848.8973382243207,Šančių sen.,496609.54871284444,6080975.442680682,0.00012092813092223764
74447972622404865,Kauno m.,17.0,1961.0,1,ambiguous,citywide,12896,7495.0,20E3F8ED-B037-4A40-9933-B4B5DFBA6909,17.000950002374314,Aleksoto sen.,495416.22617561574,6080355.553315051,5.588093123831683e-05
64808202076791346,Kauno m.,291.0,2025.0,1,ambiguous,citywide,18861,38132.0,F91D1B80-6DEB-4293-99AE-4D133AAA11F7,291.01052401154664,Panemunės sen.,501654.9481246334,6079666.046712073,3.616433419484366e-05
75704609576176793,Centro sen.,143.0,1931.0,2,ambiguous,district,1643,40455.0,25904CD2-A7BE-4B31-A056-AC03CD864E29,143.05727847754537,Centro sen.,493477.39633173426,6084935.612715291,0.0004004685957701426
75002636428534789,Kauno m.,24.0,1978.0,1,ambiguous,citywide,17670,12815.0,E8EABD14-F888-422C-ABA7-C5C8CCEC5C25,24.000599999125676,Šančių sen.,496818.5500000001,6081148.900000001,2.4999651075940932e-05
75457913847667202,Dainavos sen.,562.0,1976.0,9,ambiguous,district,595,32191.0,D15AB037-FFB4-4B1F-8192-FC6B2B202648,560.6359444636671,Dainavos sen.,496167.1609021551,6086200.960943596,0.0024300953738922715
75389693079930736,Aleksoto sen.,113.0,1985.0,2,ambiguous,district,8019,62042.0,5a16daa6-39fa-4747-877f-0e987c94d65e,113.01529039876492,Aleksoto sen.,494302.8191147503,6080299.178501188,0.00013530410939210924
92465681261652916,Aleksoto sen.,105.0,2007.0,2,ambiguous,district,8119,48937.0,5E196B64-5A29-4D0B-A4F2-34EDC79ABEDC,105.0190689147042,Aleksoto sen.,491895.6199202044,6084405.320799082,0.00018159222260294428
74484106042752268,Kauno m.,12.0,1968.0,1,ambiguous,citywide,8594,3192.0,1E9685FE-87AF-4400-866F-38F9F4075B25,12.001999996529893,Šilainių sen.,492618.23000000004,6090486.250000001,0.00016665249019354178
85912776208003638,Panemunės sen.,123.0,2011.0,1,ambiguous,district,5291,58038.0,bc6fdb24-4a29-4f1a-8595-6193ac892015,123.03591482062252,Panemunės sen.,498156.09268898185,6080420.602029181,0.0002919477906617729
64882948446000691,Šilainių sen.,119.0,2020.0,2,ambiguous,district,7310,52261.0,c00bd702-f0b4-4e56-9854-2d10ddd390fa,118.9964895107399,Šilainių sen.,494497.59525714925,6090718.556186978,2.9500344879807017e-05
7427433286823,Kauno m.,36.0,1978.0,1,ambiguous,citywide,23510,66201.0,2e2adc05-3da4-462e-a037-ff96eb198e87,36.00059857991784,Eigulių sen.,496593.7489499999,6091057.821900001,1.6627081709241764e-05
74260011933734757,Kauno m.,43.0,1985.0,1,ambiguous,citywide,27002,35176.0,D2DFDF38-46A4-464C-9014-D1132BA28EBA,43.00166006778807,Petrašiūnų sen.,501204.9332000003,6084448.050349999,3.860548242862194e-05
75658214658561401,Vilijampolės sen.,269.0,1935.0,2,ambiguous,district,1754,8292.0,937F70B4-A031-414C-B543-1AD5D2FC60BD,269.2739500222962,Vilijampolės sen.,488918.9740320119,6085847.320472923,0.0010178833508023288
75634790178811584,Vilijampolės sen.,97.0,2005.0,1,ambiguous,district,4516,19634.0,D9C07C92-31BC-41C9-AB52-584DEFC4B693,96.99560308865792,Vilijampolės sen.,488640.6742500002,6086964.673699999,4.533001029738415e-05
7546483662879315,Kauno m.,432.0,1978.0,1,ambiguous,citywide,9330,29258.0,30BDE8C1-562F-4D29-958F-AFF78C6851A4,431.98528672986436,Žaliakalnio sen.,496288.160342766,6085405.060650573,3.405907568865274e-05
74453548148936191,Kauno m.,30.0,1985.0,1,ambiguous,citywide,20562,52501.0,4120f24f-00d4-43b3-953d-e33775681ef2,30.00104933864251,Aleksoto sen.,494062.8141000001,6080861.18965,3.4977343035702546e-05
74991456832065997,Kauno m.,16.0,1890.0,1,ambiguous,citywide,12108,36148.0,42D62C8E-7585-4040-B6DD-350FA71FAB0F,16.0,Šančių sen.,496992.37090000045,6082192.865499999,0.0
6515252236704791,Kauno m.,38.0,2011.0,2,ambiguous,citywide,24483,47285.0,e8a10eaa-5c92-49ae-9103-251bf906b46a,38.00377657364652,Vilijampolės sen.,493546.3028499998,6086931.695050001,9.937857879904755e-05
74989974682450319,Kauno m.,17.0,1980.0,1,ambiguous,citywide,12896,7495.0,20E3F8ED-B037-4A40-9933-B4B5DFBA6909,17.000950002374314,Aleksoto sen.,495416.22617561574,6080355.553315051,5.588093123831683e-05
74903788233048441,Kauno m.,5.0,1950.0,1,ambiguous,citywide,345,3192.0,1E9685FE-87AF-4400-866F-38F9F4075B25,12.001999996529893,Šilainių sen.,492618.23000000004,6090486.250000001,0.8756353898440936
7533522915283862,Petrašiūnų sen.,217.0,1995.0,1,ambiguous,district,2080,34181.0,674797B9-88C5-454F-8C0E-CAC38AE8B9DD,217.1089000042075,Petrašiūnų sen.,499893.77920000016,6084861.740000001,0.0005017174561077198
7426136287294989,Kauno m.,21.0,1978.0,1,ambiguous,citywide,15889,28359.0,7954F990-38CB-4317-9E88-38DC85F535ED,21.000499999102203,Vilijampolės sen.,492868.10720000026,6086517.1454,2.3809197616131428e-05
75497454138043388,Vilijampolės sen.,472.0,1972.0,9,ambiguous,district,710,9947.0,620301A5-5C78-4800-B3E5-F29CF02FE6DC,471.39629998469616,Vilijampolės sen.,493459.04000000004,6087441.234999999,0.0012798441073353928
65083909767246984,Aleksoto sen.,98.0,2014.0,2,ambiguous,district,8169,46635.0,884D9BC9-5734-4C93-9659-CB4F77250AB6,97.9866499953581,Aleksoto sen.,494464.0088896138,6080445.079939556,0.0001362338165673549
