dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
74622591847061298,Kauno m.,28,240,1,30.5,1932.0,ambiguous,1168,3176,199610024029,30.47411367790993,0.0008490922486239505
7561604012489373,Vilijampolės sen.,20,120,1,134.0,1958.0,ambiguous,1320,1391,199620539015,134.18350000839308,0.001368466270475821
75583266372808489,Vilijampolės sen.,22,292,2,371.0,1964.0,ambiguous,57,190,199300659027,376.28135000474526,0.014135072256291181
74408174955037876,Kauno m.,28,240,1,5.0,1983.0,ambiguous,3,3176,440002584574,12.29224999792967,0.8995310698903893
74433127555267667,Kauno m.,28,240,1,46.0,1960.0,ambiguous,1698,3176,440044986196,45.96639522582524,0.0007308055423478343
74870215321042391,Kauno m.,28,240,2,206.0,1998.0,ambiguous,69,123,198920003034,202.80657946234476,0.0156234544906102
75013461914557988,Kauno m.,28,240,1,21.0,1976.0,ambiguous,683,3176,199570356022,20.99824999592453,8.333699983475995e-05
74453075208272101,Kauno m.,28,240,1,10.0,1969.0,ambiguous,130,3176,440002584574,12.29224999792967,0.20638388933044371
74127929468551554,Kauno m.,28,240,1,23.0,2002.0,ambiguous,785,3176,440050269433,23.024728073147582,0.0010745560728868675
64918617239675014,Kauno m.,20,110,1,254.0,2023.0,ambiguous,7587,15727,440009400742,253.97869647406435,8.387566681822278e-05
65162036803173895,Šilainių sen.,20,110,2,152.0,2012.0,ambiguous,6725,8034,529830235018,151.98709462186403,8.490740805822128e-05
65089846503525825,Petrašiūnų sen.,28,240,1,56.0,2013.0,ambiguous,1946,3176,199240070075,55.98519746826795,0.0002643658653633807
65348683422947501,Panemunės sen.,20,110,1,153.0,2009.0,ambiguous,13748,15727,199350300019,153.00044999148156,2.9411164694792546e-06
7498922601567648,Kauno m.,28,240,1,29.0,1996.0,ambiguous,1106,3176,440061094300,29.048890156438162,0.0016844479839783766
74280645462849251,Kauno m.,28,240,1,24.0,1939.0,ambiguous,830,3176,199480080075,23.88897094517182,0.00463694464823261
74465166752557974,Kauno m.,28,240,1,23.0,1985.0,ambiguous,785,3176,440050269433,23.024728073147582,0.0010745560728868675
74438417358628897,Kauno m.,28,240,1,41.0,1979.0,ambiguous,1541,3176,199390440029,41.00460000060461,0.00011218884329400325
